City,Day,Date,Station,Use Case,Status,CPO Name,Manufacturer,MODEL,Voltage(V),Current(A),Power(kW),Start Method,Has_12A_24A,Start Time,Start SoC(%),End Time,End SoC(%),End Method,End Reason,Test Result,Error Describe,Remark,cpo_pinyin,city_abbr,station_num,station_id,Internal_Market_Share (%),National_Impact_Share (%)
成都,3,2026-03-11,蜀道新能源汽车充电站(万贯商城充电站项目),UC01_CC_DC_AC_Sessions,Normal Test,蜀道新能源,深圳英飞源技术有限公司,DC,1000.0,500.0,500.0,Scan QR Code,1.0,2026-03-11 16:52:00,32.0,2026-03-11 16:55:00,35.0,APP,Manual Stop,,,,shu_dao_xin_neng_yuan,CD,1,CD_shu_dao_xin_neng_yuan_001,0.06,0.0
成都,3,2026-03-11,中电思极能充电站(盛世之都),UC01_CC_DC_AC_Sessions,Normal Test,殼牌,万帮数字能源股份有限公司,DC,1000.0,400.0,120.0,Scan QR Code,1.0,2026-03-11 17:27:00,32.0,2026-03-11 17:29:00,33.0,APP,Manual Stop,Pass,,需求電流大於輸出電流,ke_pai,CD,1,CD_ke_pai_001,,
成都,3,2026-03-11,中电思极能充电站(盛世之都),UC01_CC_DC_AC_Sessions,Normal Test,星星充電,万帮数宇能源股份有限公司,DC,1000.0,250.0,250.0,Scan QR Code,0.0,2026-03-11 17:37:00,33.0,2026-03-11 17:41:00,35.0,LAT,Manual Stop,Pass,,實際功率180,xing_xing_chong_dian,CD,1,CD_xing_xing_chong_dian_001,8.07,9.96
成都,3,2026-03-11,特瓦特汽车充电站(特瓦特高新宜家超充站),UC01_CC_DC_AC_Sessions,"Station Inaccessible (Access Control, Construction, etc.)",Unknown,,,,,,,,,,,,,,,,設備維護無法使用,Unknown,CD,5,CD_Unknown_005,,
成都,3,2026-03-11,昊柏充電站,UC01_CC_DC_AC_Sessions,Normal Test,昊柏,广州万城万充新能源科技有限公司,DC,1000.0,250.0,180.0,Scan QR Code,1.0,2026-03-11 19:03:00,31.0,2026-03-11 19:03:00,32.0,CID,Manual Stop,,,,hao_bai,CD,1,CD_hao_bai_001,,
成都,4,2026-03-11,极氪能源超级充电站(成都凯旋南城超充站),UC01_CC_DC_AC_Sessions,Normal Test,极氪,特來電,DC,1000.0,250.0,250.0,Scan QR Code,1.0,2026-03-11 19:08:00,31.0,2026-03-11 19:08:00,32.0,LAT,Manual Stop,Pass,,,ji_ke,CD,1,CD_ji_ke_001,,
成都,4,2026-03-12,国家电网汽车充电站(四川省成都市高新区府城大道西段355号石羊充电站),UC01_CC_DC_AC_Sessions,Normal Test,國家電網,北京華商三優新能源科技有限公司,DC,1000.0,380.0,80.0,Scan QR Code,1.0,2026-03-12 10:39:00,24.0,2026-03-12 10:38:00,25.0,APP,Manual Stop,Pass,,,guo_jia_dian_wang,CD,1,CD_guo_jia_dian_wang_001,3.66,23.49
成都,4,2026-03-12,太空充电汽车充电站(白羊座行星超能舱成都港汇天地),UC01_CC_DC_AC_Sessions,Normal Test,太空充電,成都新時代宇航科技有限公司,DC,750.0,250.0,360.0,Scan QR Code,1.0,2026-03-12 11:34:00,25.0,2026-03-12 11:37:00,29.0,LAT,Manual Stop,Pass,,,tai_kong_chong_dian,CD,1,CD_tai_kong_chong_dian_001,0.33,0.02
成都,4,2026-03-12,蔚来能源超级充电站(成都麓湖海浪公园),UC01_CC_DC_AC_Sessions,Normal Test,Nio,武汉蔚来能源设备有限公司,DC,1000.0,250.0,200.0,Scan QR Code,1.0,2026-03-12 12:17:00,27.0,2026-03-12 12:19:00,28.0,APP,Manual Stop,Pass,,,Nio,CD,1,CD_Nio_001,,
成都,4,2026-03-12,南方电网汽车充电站(万纬成都天府物流园充电站),UC01_CC_DC_AC_Sessions,Normal Test,南方電網,南方电网电动汽车服务有限公司,DC,750.0,250.0,180.0,Scan QR Code,1.0,2026-03-12 12:57:00,24.0,2026-03-12 13:04:00,28.0,CID,Manual Stop,Pass,,,nan_fang_dian_wang,CD,1,CD_nan_fang_dian_wang_001,,
成都,4,2026-03-12,中装天如(环球都汇充电站),UC01_CC_DC_AC_Sessions,Normal Test,中装天如,深圳市盛弘电气限份有限公司,DC,1000.0,250.0,250.0,Scan QR Code,1.0,2026-03-12 14:35:00,11.0,2026-03-12 14:38:00,22.0,APP,Manual Stop,,,,zhong_zhuang_tian_ru,CD,1,CD_zhong_zhuang_tian_ru_001,0.06,0.0
成都,4,2026-03-12,广汽能源汽车充电站(广汽昊铂成都旭辉广场超充站),UC01_CC_DC_AC_Sessions,Normal Test,開麥斯,萬邦數字能源股份有限公司,DC,1000.0,250.0,180.0,Scan QR Code,1.0,2026-03-12 15:40:00,21.0,2026-03-12 15:43:00,26.0,APP,Manual Stop,Pass,,,kai_mai_si,CD,1,CD_kai_mai_si_001,,
成都,4,2026-03-12,成都招商大魔方充電站,UC01_CC_DC_AC_Sessions,Normal Test,嵐圖,斑图汽车料技股份有限公司,DC,1000.0,250.0,250.0,Scan QR Code,0.0,2026-03-12 18:05:00,17.0,2026-03-12 18:11:00,27.0,CID,Manual Stop,Pass,,終端輔能 有顯示12v但是不能切換,lan_tu,CD,1,CD_lan_tu_001,,
成都,4,2026-03-12,成都招商大魔方充電站,UC01_CC_DC_AC_Sessions,Normal Test,蔚景雲,深圳市盛弘電氣製造有限公司,DC,1000.0,250.0,250.0,Scan QR Code,1.0,2026-03-12 18:24:00,27.0,2026-03-12 18:24:00,28.0,Target SOC,Manual Stop,Pass,,少一個風扇選項,wei_jing_yun,CD,1,CD_wei_jing_yun_001,17.74,9.2
成都,4,2026-03-12,大潤發理想超級充電站,UC01_CC_DC_AC_Sessions,Normal Test,車庫電裝,車庫七號新能源科技有限公司,DC,1000.0,160.0,120.0,Scan QR Code,1.0,2026-03-12 19:00:00,26.0,2026-03-12 19:15:00,27.0,CID,Manual Stop,,,回頭補上,che_ku_dian_zhuang,CD,1,CD_che_ku_dian_zhuang_001,,
