id,name,address,cityname,adname,location,biz_rating,biz_cost,biz_open_time,biz_opentime2,source_hex_id,cpo_final,longitude,latitude
B0LRT9AZ0W,理想超级充电站(理想超充站成都新都兴业大道一段),新都街道兴业大道一段潮玩公园,成都市,新都区,"104.203020,30.811144",3.3,,24小时营业,周一至周日 00:00-24:00,hex_278,理想,104.20302,30.811144
B0LR1DTSS3,理想超级充电站(理想超充站成都新都富森美家居),桂湖街道物流大道富森·美家居汽配MALL,成都市,新都区,"104.141945,30.793629",3.8,,24小时营业,周一至周日 00:00-24:00,hex_277,理想,104.141945,30.793629
B0J03RD2SX,蔚来换电站(成都五龙山路),五龙大道94号,成都市,新都区,"104.161933,30.778439",[],,[],[],hex_277,蔚来,104.161933,30.778439
B0I05PWR21,小鹏汽车充电站(成都汇融广场S4小鹏超快充站),大丰街道彦家湾路方元路45号汇融商场地下停车场地下二层D2区1456,成都市,新都区,"104.062580,30.764732",3.5,,24小时营业,周一至周日 00:00-24:00,hex_276,小鹏,104.06258,30.764732
B0L6O42SMN,举视汽车充电站(万科理想城14栋负二楼共享充电站),万科·理想城四期内部地下停车场,成都市,郫都区,"103.981448,30.753122",0.0,,24小时营业,周一至周日 00:00-24:00,hex_276,理想,103.981448,30.753122
B0JR96E62I,小鹏充电站(新城市购物广场店),马超东路266号地下停车场191,成都市,新都区,"104.179878,30.810142",3.8,,24小时营业,周一至周日 00:00-24:00,hex_302,小鹏,104.179878,30.810142
B0LUJMA008,理想超级充电站(理想超充站成都炬光国际潮流文化会展中心),桂湖街道自强路156号(锦水河地铁站G口步行470米),成都市,新都区,"104.153420,30.801062",3.8,,24小时营业,周一至周日 00:00-24:00,hex_302,理想,104.15342,30.801062
B0L1ODO9TZ,理想超级充电站(理想超充站成都新都区文家一巷),天元小学(东环路校区),成都市,新都区,"104.169860,30.827220",3.8,,24小时营业,周一至周日 00:00-24:00,hex_302,理想,104.16986,30.82722
B0JBTC1WDU,蔚来能源目的地充电站(内部使用中国人寿成都保险研修院),兴乐北路1699号,成都市,新都区,"104.197720,30.828867",0.0,,24小时营业,周一至周日 00:00-24:00,hex_302,蔚来,104.19772,30.828867
B0KR7RO2RC,蔚来能源目的地充电站(内部使用成都新港海绵有限公司),新繁镇家具工业园区阳光林森路229号,成都市,新都区,"104.004560,30.853054",0.0,,24小时营业,周一至周日 00:00-24:00,hex_300,蔚来,104.00456,30.853054
B0LGTGSJWY,理想超级充电站(理想超充站成都温江凤溪大道),柳城街道凤溪大道南段(凤溪河地铁站B口步行140米),成都市,温江区,"103.844930,30.686287",3.8,,24小时营业,周一至周日 00:00-24:00,hex_250,理想,103.84493,30.686287
