天數,Date,站點,Use Case,狀態,CPO Name,製造商,MODEL,電壓(V),電流(A),功率(kW),開啟電裝方式,"具備12, 24V選項",開始時間,開始電量(%),結束時間,結束電量(%),结束原因,結束方法,測試結果,備註
6,2025-12-03,延长壳牌广州富力天寓地下慢充站,DC_UC4_17460724,正常測試,zhongnengkunchng,,DC,,,,掃描 QRcode,1.0,11:50:00,40.0,11:57:00,41.0,reached target SOC,手動結束,Pass,
6,2025-12-03,美林M.LIVE天地西座-慢充,DC_UC5_17460720,正常測試,teld,,DC,,,,掃描 QRcode,1.0,13:36:00,40.0,13:47:00,40.0,reached target SOC,手動結束,Pass,
6,2025-12-03,nan,AC_UC1_17460722,正常測試,Shenhong,,AC,,,,掃描 QRcode,0.0,14:09:00,,14:15:00,,APP,手動結束,Pass,
6,2025-12-03,nan,AC_UC1_17460722,正常測試,SC,,DC,,,,掃描 QRcode,0.0,14:47:00,,14:53:00,,APP,手動結束,Pass,
6,2025-12-03,充电有道黄埔时代城快充站,DC_UC4_17460724,正常測試,Kehua,,DC,,,,掃描 QRcode,0.0,14:58:00,38.0,15:08:00,41.0,reached target SOC,手動結束,Pass,
6,2025-12-03,荔湾东沙站,DC_UC5_17460720,正常測試,Shenhong,,DC,,,,掃描 QRcode,1.0,15:49:00,37.0,15:51:00,45.0,reached target SOC,手動結束,Pass,
7,2025-12-04,广州 W 酒店,DC_UC5_17460720,正常測試,特瓦特,特瓦特能源科技有限公司,HPC,1000.0,500.0,600.0,掃描 QRcode,0.0,2025-12-04 10:48:16,38.0,2025-12-04 10:51:44,45.0,reached target SOC,達到目標電量,Pass,
7,2025-12-04,广州 W 酒店,DC_UC4_17460724,正常測試,雲快充,公牛集團股份有限公司,DC,380.0,120.0,80.0,掃描 QRcode,1.0,2025-12-04 11:12:32,43.0,2025-12-04 11:16:31,47.0,APP,手動結束,Pass,
7,2025-12-04,广州 W 酒店,DC_UC6_17460721,正常測試,车电网(广汽),广汽能源,DC,1000.0,500.0,250.0,掃描 QRcode,0.0,2025-12-04 12:22:50,42.0,2025-12-04 12:28:12,49.0,LAT,達到目標電量,nan,
7,2025-12-04,广州 W 酒店,AC_UC1_17460722,電站無法進入（如門禁、施工等）,朗新能源,,,,,,,,,,,,,,nan,
7,2025-12-04,广州 W 酒店,DC_UC5_17460720,正常測試,奥特能,特來電,DC,1000.0,250.0,,掃描 QRcode,1.0,2025-12-04 14:37:09,40.0,2025-12-04 14:42:28,45.0,reached target SOC,達到目標電量,nan,
7,2025-12-04,广州 W 酒店,DC_UC4_17460724,正常測試,小象快充,深圳市车电網路又现公司,DC,750.0,160.0,120.0,掃描 QRcode,1.0,2025-12-04 14:50:32,44.0,2025-12-04 14:52:12,45.0,LAT,手動結束,Pass,
7,2025-12-04,广州 W 酒店,DC_UC4_17460724,正常測試,小桔充电,珠海泰坦科技股分有限公司,Dc,1000.0,480.0,480.0,掃描 QRcode,0.0,2025-12-04 15:41:23,41.0,2025-12-04 15:44:47,45.0,LAT,手動結束,Pass,
7,2025-12-04,广州 W 酒店,DC_UC4_17460724,正常測試,小桔充电,深圳市勝宏電器股份有限公司,DC,750.0,750.0,120.0,掃描 QRcode,0.0,2025-12-04 16:18:50,43.0,2025-12-04 16:22:08,45.0,LAT,手動結束,Pass,
7,2025-12-04,广州 W 酒店,AC_UC1_17460722,電站無法進入（如門禁、施工等）,小桔充电,,,,,,,,,,,,,,nan,CPO 快電
8,2025-12-05,广汽能源,DC_UC5_17460720,正常測試,广汽能源,万城万冲,DC,1000.0,250.0,240.0,掃描 QRcode,1.0,2025-12-05 10:33:25,40.0,2025-12-05 10:38:02,45.0,reached target SOC,達到目標電量,Pass,旁邊發現華為充電站
8,2025-12-05,广汽能源,AC_UC1_17460722,正常測試,广汽能源,广汽能源,,,,,掃描 QRcode,1.0,2025-12-05 10:42:41,45.0,2025-12-05 10:46:30,49.0,APP,手動結束,Pass,
8,2025-12-05,華為超級衝,DC_UC4_17460724,正常測試,華為,華為,HPC,1000.0,600.0,600.0,掃描 QRcode,1.0,2025-12-05 10:49:54,49.0,2025-12-05 10:51:20,52.0,CID,手動結束,Pass,測試是否能到 600 KW 
8,2025-12-05,城投充电,AC_UC1_17460722,正常測試,城投充电,深圳市鴻嘉利新能源有限公司,HPC,1000.0,600.0,480.0,掃描 QRcode,0.0,2025-12-05 11:34:38,50.0,2025-12-05 11:39:31,53.0,APP,達到目標電量,Pass,广州城投（大东门）超充站
